Node	Protocol_Version	User_Agent	Connected_Since	Services	Height	Hostname	City	Country_Code	Latitude	Longitude	Timezone	ASN	Timestamp	Latest_Height	Total_Nodes	Organization
149.202.50.207:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	207.ip-149-202-50.eu	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1569819271	597215	7510	"OVH SAS"
95.213.145.52:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	null	Moscow	RU	55.7527	37.6172	Europe/Moscow	AS49505	1569819271	597215	7510	"OOO Network of data-centers Selectel"
167.71.218.176:8333	70015	/Satoshi:0.13.2/	1569819252	13	597215	null	null	SG	1.314	103.6839	Asia/Singapore	AS14061	1569819271	597215	7510	"DigitalOcean, LLC"
cyczcoenammdgq6r.onion:8333	70015	/Satoshi:0.18.1/	1569819255	1037	597215	null	null	null	0	0	null	TOR	1569819271	597215	7510	"Tor network"
161.117.8.237:8333	70015	/Satoshi:0.15.2/	1569819252	13	597215	null	Singapore	SG	1.2929	103.8547	Asia/Singapore	AS45102	1569819271	597215	7510	"Alibaba (US) Technology Co., Ltd."
185.141.60.127:8333	70015	/Satoshi:0.18.0/	1569819252	1036	597215	null	null	BG	42.7	23.3333	Europe/Sofia	AS44901	1569819271	597215	7510	"BelCloud Hosting Corporation"
144.76.71.116:33354	70015	/Satoshi:0.15.6.5/	1569819252	13	119314	null	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569819271	597215	7510	"Hetzner Online GmbH"
5.188.9.30:8333	70015	/Satoshi:0.17.1/	1569819252	1036	597215	null	null	RU	55.7386	37.6068	Europe/Moscow	AS44050	1569819271	597215	7510	"Petersburg Internet Network ltd."
144.134.42.20:8333	70015	/Satoshi:0.18.1/	1569819354	1037	589409	null	null	null	0	0	null	null	1569819271	597215	7510	null
[2001:41d0:1004:395b::]:8333	70015	/Satoshi:0.18.1/	1569819252	1036	597215	null	null	FR	46	2	Europe/Paris	AS16276	1569819271	597215	7510	"OVH SAS"
116.203.29.242:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	static.242.29.203.116.clients.your-server.de	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569819271	597215	7510	"Hetzner Online GmbH"
99.238.21.75:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	null	Toronto	CA	43.6909	-79.3098	America/Toronto	AS812	1569819271	597215	7510	"Rogers Communications Canada Inc."
52.73.147.181:8333	70015	/Satoshi:0.16.1/	1569819252	1037	597215	null	Ashburn	US	39.0481	-77.4728	America/New_York	AS14618	1569819271	597215	7510	"Amazon.com, Inc."
80.211.191.11:8333	70015	/Satoshi:0.18.0/	1569819252	1036	597215	null	Arezzo	IT	43.4631	11.8783	Europe/Rome	AS31034	1569819271	597215	7510	"Aruba S.p.A."
204.152.203.98:8333	70015	/Satoshi:0.17.1/	1569819252	1036	597215	null	Los Angeles	US	34.0549	-118.2578	America/Los_Angeles	AS8100	1569819271	597215	7510	"QuadraNet Enterprises LLC"
95.216.12.243:8333	70015	/Satoshi:0.15.0(bitcore)/	1569819252	13	597215	static.243.12.216.95.clients.your-server.de	null	FI	60.1708	24.9375	Europe/Helsinki	AS24940	1569819271	597215	7510	"Hetzner Online GmbH"
208.167.255.165:8333	70015	/Satoshi:0.18.0/	1569819252	1036	597215	208.167.255.165.vultr.com	Piscataway	US	40.5511	-74.4606	America/New_York	AS20473	1569819271	597215	7510	"Choopa, LLC"
47.74.248.83:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	null	Singapore	SG	1.2929	103.8547	Asia/Singapore	AS45102	1569819271	597215	7510	"Alibaba (US) Technology Co., Ltd."
185.102.71.6:8333	70015	/Satoshi:0.17.1/	1569819252	1037	597215	null	null	NL	52.3824	4.8995	Europe/Amsterdam	AS58291	1569819271	597215	7510	"ColoCenter b.v."
34.216.162.155:8333	70015	/Satoshi:0.17.1/	1569819252	1037	597215	null	Boardman	US	45.8491	-119.7143	America/Los_Angeles	AS16509	1569819271	597215	7510	"Amazon.com, Inc."
54.38.236.24:8333	70015	/Satoshi:0.16.3/	1569819252	1037	597215	null	null	FR	48.8582	2.3387	Europe/Paris	AS16276	1569819271	597215	7510	"OVH SAS"
34.85.9.127:8333	70015	/Bitcoin ABC:0.15.1(EB8.0)/	1569819252	37	592845	null	null	US	37.751	-97.822	America/Chicago	AS15169	1569819271	597215	7510	"Google LLC"
77.161.203.90:8333	70015	/Satoshi:0.18.1/	1569819252	1037	597215	null	Amsterdam	NL	52.3742	4.8218	Europe/Amsterdam	AS1136	1569819271	597215	7510	"KPN B.V."
62.178.105.15:8333	70015	/Satoshi:0.18.0/	1569819351	1037	597215	null	null	null	0	0	null	null	1569819271	597215	7510	null
13.228.53.43:8333	70015	/Satoshi:0.16.1/	1569819252	1036	597215	null	Singapore	SG	1.2929	103.8547	Asia/Singapore	AS16509	1569819271	597215	7510	"Amazon.com, Inc."
45.55.32.109:8333	70015	/Satoshi:0.18.0/	1569819351	1037	597215	null	null	null	0	0	null	null	1569819271	597215	7510	null
47.254.73.32:8333	70015	/Satoshi:0.18.0/	1569819252	1036	597215	null	Portland	US	45.5245	-122.6692	America/Los_Angeles	AS45102	1569819271	597215	7510	"Alibaba (US) Technology Co., Ltd."
217.160.185.97:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	s21340657.onlinehome-server.info	null	DE	51.2993	9.491	Europe/Berlin	AS8560	1569819271	597215	7510	"1&1 Internet SE"
176.38.7.43:8333	70015	/Satoshi:0.17.0/	1569819252	1037	597215	host-176-38-7-43.la.net.ua	Kyiv	UA	50.4547	30.5238	Europe/Kiev	AS39608	1569819271	597215	7510	"Lanet Network Ltd"
75.157.77.34:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	d75-157-77-34.bchsia.telus.net	Surrey	CA	49.1049	-122.824	America/Vancouver	AS852	1569819271	597215	7510	"TELUS Communications Inc."
93.220.46.134:8333	70015	/Satoshi:0.17.0.1/	1569819252	1037	597215	null	Reiskirchen	DE	50.6	8.8333	Europe/Berlin	AS3320	1569819271	597215	7510	"Deutsche Telekom AG"
5.102.147.55:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	null	Seuzach Dorf	CH	47.5356	8.7321	Europe/Zurich	AS59414	1569819271	597215	7510	"cloudscale.ch AG"
73.225.205.199:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	null	Olympia	US	47.1101	-122.775	America/Los_Angeles	AS7922	1569819271	597215	7510	"Comcast Cable Communications, LLC"
159.203.183.20:8333	70015	/Satoshi:0.18.0/	1569819252	1037	597215	null	North Bergen	US	40.793	-74.0247	America/New_York	AS14061	1569819271	597215	7510	"DigitalOcean, LLC"
47.146.124.143:8333	70015	/Satoshi:0.18.1/	1569819252	1037	597215	47.146.124.143	Hemet	US	33.7399	-117.0151	America/Los_Angeles	AS5650	1569819271	597215	7510	"Frontier Communications of America, Inc."
5.9.147.147:8333	70015	/Satoshi:0.17.0.1/	1569819252	1037	597215	static.147.147.9.5.clients.your-server.de	null	DE	51.2993	9.491	Europe/Berlin	AS24940	1569819271	597215	7510	"Hetzner Online GmbH"
[2606:2e00:0:9f:225:90ff:fe4f:f572]:8333	70015	/Satoshi:0.18.1/	1569819351	1037	597215	null	null	null	0	0	null	null	1569819271	597215	7510	null
18.218.226.80:8333	70015	/Satoshi:0.14.99/	1569819351	12	597215	null	null	null	0	0	null	null	1569819271	597215	7510	null
