AS,bit_Rank,eth_Rank,r2_Rank,bit_tot,eth_tot,r_tot,bit_weight,eth_weight,r_weight,grand_tot
AS-16509,2,1,1,501,1135,253,160,135,80,1889
AS-14618,12,5,4,132,444,58,42,40,14,634
AS-14061,3,2,7,256,323,30,240,206,28,609
AS-24940,1,4,3,319,211,55,26,14,10,585
AS-15169,7,3,2,119,332,83,51,59,26,534
AS-16276,4,7,8,210,276,26,61,27,8,512
AS-45102,8,6,5,109,202,38,42,42,18,349
AS-7922,6,14,14,263,72,13,46,11,4,348
AS-20473,5,9,11,168,168,11,173,112,10,347
AS-37963,11,12,13,115,169,11,40,33,8,295
AS-8075,29,11,6,29,208,39,14,22,11,276
AS-4134,98,10,27,1,265,6,1,81,2,272
AS-6830,10,19,44,134,33,2,95,19,2,169
AS-701,13,22,99,116,27,1,83,13,0,144
AS-7018,14,20,45,94,31,2,51,15,2,127
AS-4766,32,16,10,24,67,12,18,33,7,103
AS-63949,16,13,21,48,48,5,58,39,5,101
AS-51167,9,8,22,39,56,4,85,49,4,99
AS-12876,15,15,17,36,45,4,11,8,3,85
AS-3209,17,25,31,59,15,2,17,2,1,76
AS-20115,19,31,98,47,14,1,52,11,1,62
AS-209,23,35,32,36,12,4,29,9,1,52
AS-9318,41,18,16,12,32,5,9,22,4,49
AS-4812,57,17,43,8,37,2,7,13,2,47
AS-20001,25,30,97,34,12,1,20,4,1,47
AS-7545,24,51,93,35,7,1,38,7,1,43
AS-33915,21,59,90,36,5,1,21,3,0,42
AS-10796,22,50,54,34,6,1,30,4,0,41
AS-3462,35,21,46,13,25,1,15,16,0,39
AS-49981,20,34,50,25,11,1,18,6,1,37
AS-6327,31,45,91,26,9,1,25,9,1,36
AS-60781,27,26,30,20,12,3,10,7,3,35
AS-6128,33,46,55,23,8,2,12,5,0,33
AS-4808,46,23,100,7,24,1,9,24,1,32
AS-12322,18,52,56,22,6,2,12,2,2,30
AS-852,34,41,34,18,9,2,17,6,1,29
AS-36351,50,39,9,10,9,9,10,9,7,28
AS-7979,75,24,15,5,14,6,4,14,6,25
AS-8708,36,40,51,14,10,1,9,4,0,25
AS-9009,37,28,47,10,14,1,12,14,1,25
AS-3786,49,29,48,6,16,1,6,6,1,23
AS-12271,43,58,36,14,5,4,13,3,2,23
AS-132203,58,33,19,6,13,4,7,11,4,23
AS-11351,40,61,41,15,4,2,14,4,2,21
AS-197540,26,80,77,17,3,1,14,3,1,21
AS-12874,30,60,60,16,3,1,8,1,0,20
AS-136907,59,27,20,6,9,4,4,5,4,19
AS-49505,39,37,95,9,9,1,15,9,1,19
AS-4713,48,65,26,11,4,3,9,2,2,18
AS-135377,70,32,18,5,8,3,5,7,3,16
AS-16591,45,82,39,13,2,1,11,1,1,16
AS-38365,73,42,92,5,10,1,5,8,1,16
AS-42610,51,63,89,10,4,1,7,4,1,15
AS-23724,76,48,57,5,8,2,5,8,2,15
AS-38700,74,47,29,5,7,3,3,3,1,15
AS-17506,78,49,35,5,6,2,5,3,0,13
AS-22612,42,79,76,10,2,1,11,2,1,13
AS-28753,65,67,23,4,4,4,3,4,4,12
AS-9370,62,54,52,6,5,1,4,3,1,12
AS-28573,38,62,58,6,4,1,16,3,1,11
AS-20860,67,56,42,5,4,2,3,4,2,11
AS-33387,53,83,28,7,2,2,6,1,2,11
AS-12479,54,99,81,9,1,1,9,1,1,11
AS-4847,97,38,96,1,8,1,1,6,1,10
AS-8220,86,43,33,2,6,2,2,3,1,10
AS-34779,52,64,61,6,3,1,7,2,1,10
AS-9506,63,85,70,7,2,1,7,2,0,10
AS-32097,64,66,59,5,4,1,3,4,1,10
AS-39572,28,81,38,6,2,1,6,2,1,9
AS-25229,66,84,69,6,2,1,6,2,1,9
AS-5384,83,69,66,3,4,2,3,4,2,9
AS-50837,91,44,24,1,4,4,1,2,2,9
AS-202053,71,53,25,4,2,3,5,2,3,9
AS-4764,55,76,88,5,3,1,8,2,1,9
AS-2527,56,57,94,4,3,1,5,3,1,8
AS-50673,60,98,80,6,1,1,5,1,1,8
AS-2516,61,77,74,4,3,1,5,1,1,8
AS-31400,81,36,49,2,4,1,3,2,1,7
AS-2497,95,74,12,1,2,4,1,2,3,7
AS-13037,77,94,84,5,1,1,2,0,0,7
AS-559,84,70,87,1,4,1,2,2,0,6
AS-56478,69,97,83,4,1,1,3,1,1,6
AS-27699,85,89,40,2,2,2,2,2,1,6
AS-4685,99,55,53,1,4,1,1,4,1,6
AS-197988,47,78,75,3,2,1,2,2,1,6
AS-54540,80,88,73,3,2,1,4,2,1,6
AS-24560,93,73,63,1,3,2,1,3,2,6
AS-60117,72,75,64,2,2,1,5,2,1,5
AS-62370,79,87,72,2,2,1,3,2,1,5
AS-7684,82,71,37,2,1,2,3,1,2,5
AS-16125,44,100,82,3,1,1,4,1,1,5
AS-3223,68,96,79,3,1,1,5,1,1,5
AS-47331,88,91,85,2,2,1,2,2,1,5
AS-7479,100,68,65,1,2,1,1,2,1,4
AS-58466,87,90,67,1,2,1,1,2,1,4
AS-55967,90,72,62,1,2,1,1,2,1,4
AS-199484,92,93,68,1,1,1,1,1,1,3
AS-31673,94,86,71,1,1,1,1,1,1,3
AS-44395,89,92,86,1,1,1,1,1,0,3
AS-9,96,95,78,1,1,1,1,0,0,3
