Rnodes,Rbest,Rworst,Bnodes,Bbest,Bworst,Enodes,Ebest,Eworst
1,1,1,1,1,1,1,1,1
2,1,1,2,2,2,2,2,2
3,2,2,3,3,5,3,1,3
4,3,3,4,6,6,4,2,4
5,4,4,5,3,7,5,3,5
6,4,4,6,4,8,6,3,6
7,5,5,7,5,7,7,4,7
9,7,7,8,6,8,8,5,6
10,8,8,9,9,11,9,4,9
11,8,8,10,10,12,10,5,10
12,7,9,11,9,13,11,6,11
13,8,10,12,10,14,12,7,12
14,8,11,13,11,15,13,8,13
15,9,11,14,12,16,14,9,14
16,10,12,15,13,17,15,10,15
17,11,11,16,8,18,16,6,16
18,11,11,17,9,17,17,7,15
19,12,12,18,10,18,18,8,16
21,14,14,19,11,21,19,7,17
22,15,15,20,14,22,20,8,17
23,15,15,21,11,23,21,9,18
24,16,16,22,12,24,22,9,19
25,17,17,23,13,21,23,10,20
26,18,18,24,14,24,24,11,21
27,18,18,25,17,25,25,10,22
28,19,19,26,18,26,26,11,23
30,28,28,27,17,27,27,12,24
31,29,29,28,18,24,28,13,25
32,29,29,29,19,25,29,14,24
33,30,30,30,20,26,30,15,25
34,31,31,31,21,25,31,16,26
35,32,32,32,22,26,32,17,26
36,32,32,33,23,29,33,18,27
37,33,33,34,24,30,34,18,28
39,35,35,35,27,31,35,19,27
40,36,36,36,28,32,36,20,28
41,36,36,37,27,33,37,19,29
42,35,37,38,28,34,38,20,25
43,36,38,39,29,35,39,21,26
44,36,39,40,26,36,40,22,27
45,37,39,41,27,36,41,23,28
46,38,40,42,28,37,42,23,29
47,39,39,43,29,39,43,24,30
48,39,39,44,32,40,44,25,31
49,40,40,45,29,41,45,26,31
51,42,42,46,30,42,46,27,32
52,43,43,47,31,42,47,28,33
53,43,43,48,32,43,48,29,34
54,44,44,49,35,44,49,25,35
55,45,45,50,36,45,50,26,34
56,46,46,51,35,46,51,27,35
57,46,46,52,36,47,52,26,36
58,47,47,53,37,46,53,27,36
253,80,80,54,38,47,54,28,37
254,81,81,55,39,50,55,28,38
255,81,81,56,40,51,56,29,39
256,82,82,57,40,52,57,30,40
257,83,83,58,41,53,58,29,41
258,84,84,59,42,50,59,30,42
259,84,84,60,43,53,60,31,43
260,85,85,61,45,54,61,32,44
262,87,87,62,46,55,62,33,43
263,88,88,63,46,56,63,34,44
264,88,88,64,47,53,64,35,45
265,87,89,65,48,54,65,36,45
266,88,90,66,49,55,66,37,46
267,88,91,67,50,54,67,33,47
268,89,91,68,51,55,68,34,46
269,90,92,69,52,58,69,35,47
270,91,91,70,53,59,70,34,48
271,91,91,71,56,60,71,35,44
272,92,92,72,57,61,72,36,45
274,94,94,73,56,62,73,36,46
275,95,95,74,57,63,74,37,47
276,95,95,75,58,64,75,38,48
277,96,96,76,55,65,76,37,49
278,97,97,77,56,64,77,38,50
279,98,98,78,57,65,78,39,49
280,98,98,79,58,68,79,40,50
281,99,99,80,61,69,80,41,51
283,108,108,81,58,70,81,42,51
284,109,109,82,59,71,82,43,52
285,109,109,83,60,68,83,39,53
286,110,110,84,61,71,84,40,52
287,111,111,85,64,72,85,41,53
288,112,112,86,65,73,86,40,54
289,112,112,87,64,74,87,41,50
290,113,113,88,65,69,88,42,51
292,115,115,89,66,70,89,42,52
293,116,116,90,67,71,90,43,53
294,116,116,91,68,72,91,44,54
295,115,117,92,69,73,92,43,55
296,116,118,93,70,72,93,44,56
297,116,119,94,71,73,94,45,57
298,117,119,95,74,76,95,46,58
299,118,120,96,75,77,96,47,57
300,119,119,97,74,78,97,48,58
301,119,119,98,75,79,98,49,59
302,120,120,99,76,76,99,50,59
304,122,122,100,77,79,100,51,60
305,123,123,101,80,80,101,51,61
306,123,123,102,81,81,102,52,60
307,124,124,103,82,82,103,53,61
308,125,125,134,95,95,104,52,62
309,126,126,135,96,96,105,53,58
310,126,126,136,97,97,106,54,59
,,,137,98,100,107,55,60
,,,138,101,101,108,56,61
,,,139,98,102,109,56,62
,,,140,99,103,110,57,63
,,,141,100,102,111,58,64
,,,142,101,103,112,59,64
,,,143,104,106,113,60,65
,,,144,105,107,114,61,66
,,,145,104,108,115,62,67
,,,146,105,109,116,58,68
,,,147,106,110,117,59,67
,,,148,107,111,118,60,68
,,,149,108,112,119,59,69
,,,150,103,113,120,60,69
,,,151,104,112,121,61,70
,,,152,105,113,122,61,71
,,,153,106,116,123,62,72
,,,154,109,117,124,63,73
,,,155,106,118,125,62,74
,,,156,107,119,126,63,75
,,,157,108,116,127,64,76
,,,158,109,119,128,65,77
,,,159,112,120,129,66,76
,,,160,113,121,130,67,77
,,,161,112,122,131,68,78
,,,162,113,119,132,69,78
,,,163,114,120,133,70,79
,,,164,115,121,134,70,80
,,,165,116,120,135,71,79
,,,166,117,121,136,72,80
,,,167,118,124,137,71,81
,,,168,119,125,138,72,77
,,,169,122,126,139,73,78
,,,170,123,127,140,74,79
,,,171,122,128,141,75,80
,,,172,123,129,142,76,81
,,,173,124,130,143,77,82
,,,174,121,131,144,78,83
,,,175,122,131,145,81,82
,,,176,123,132,146,80,83
,,,177,124,134,147,81,84
,,,178,127,135,148,82,84
,,,179,124,136,149,83,85
,,,180,125,137,150,84,86
,,,181,126,137,151,85,85
,,,182,127,138,152,86,86
,,,183,130,139,153,87,87
,,,184,131,140,323,206,206
,,,185,130,141,324,207,207
,,,186,131,142,325,208,208
,,,187,132,141,326,207,209
,,,188,133,142,327,208,210
,,,189,134,145,328,209,211
,,,190,135,146,329,209,212
,,,191,135,147,330,210,213
,,,192,136,148,331,211,212
,,,193,137,145,332,210,215
,,,194,138,148,333,211,216
,,,195,140,149,334,212,217
,,,196,141,150,335,213,218
,,,197,141,151,336,214,219
,,,198,142,148,337,215,220
,,,199,143,149,338,216,221
,,,200,144,150,339,212,222
,,,201,145,149,340,213,221
,,,202,146,150,341,214,222
,,,203,147,153,342,213,223
,,,204,148,154,343,214,223
,,,205,151,155,344,215,224
,,,206,152,156,345,215,225
,,,207,151,157,346,216,226
,,,208,152,158,347,217,227
,,,209,153,159,348,216,228
,,,210,150,160,349,217,229
,,,211,151,159,350,218,230
,,,212,152,160,351,219,231
,,,213,153,163,352,220,230
,,,214,156,164,353,221,231
,,,215,153,165,354,222,232
,,,216,154,166,355,223,232
,,,217,155,163,356,224,233
,,,218,156,166,357,224,234
,,,219,159,167,358,225,233
,,,220,160,168,359,226,234
,,,221,159,169,360,225,235
,,,222,160,164,361,226,231
,,,223,161,165,362,227,232
,,,224,162,166,363,228,233
,,,225,163,167,364,229,234
,,,226,164,168,365,229,235
,,,227,165,167,366,230,236
,,,228,166,168,367,231,237
,,,229,169,171,368,232,237
,,,230,170,172,369,233,238
,,,231,169,173,370,234,239
,,,232,170,174,371,235,240
,,,233,171,171,372,231,241
,,,234,172,174,373,232,240
,,,235,175,175,374,233,241
,,,236,176,176,375,232,242
,,,237,177,177,376,233,242
,,,256,240,240,377,234,243
,,,257,241,241,378,234,244
,,,258,242,242,379,235,245
,,,259,243,245,380,236,246
,,,260,246,246,381,235,247
,,,261,243,247,382,236,248
,,,262,244,248,383,237,249
,,,263,245,247,384,238,250
,,,264,246,248,385,239,249
,,,265,249,251,386,240,250
,,,266,250,252,387,241,251
,,,267,249,253,388,242,251
,,,268,250,254,389,243,252
,,,269,251,255,390,239,253
,,,270,252,256,391,240,252
,,,271,253,257,392,241,253
,,,272,248,258,393,240,254
,,,273,249,257,394,241,250
,,,274,250,258,395,242,251
,,,275,251,261,396,242,252
,,,276,254,262,397,243,253
,,,277,251,263,398,244,254
,,,278,252,264,399,243,255
,,,279,253,261,400,244,256
,,,280,254,264,401,245,255
,,,281,257,265,402,246,256
,,,282,258,266,403,247,257
,,,283,257,267,404,248,257
,,,284,258,264,405,249,258
,,,285,259,265,406,245,259
,,,286,260,266,407,246,258
,,,287,261,265,408,247,259
,,,288,262,266,409,246,260
,,,289,263,269,410,247,256
,,,290,264,270,411,248,257
,,,291,267,271,412,248,258
,,,292,268,272,413,249,259
,,,293,267,273,414,250,260
,,,294,268,274,415,249,261
,,,295,269,275,416,250,262
,,,296,266,276,417,251,263
,,,297,267,276,418,252,264
,,,298,268,277,419,253,263
,,,299,269,279,420,254,264
,,,300,272,280,421,255,265
,,,301,269,281,422,256,265
,,,302,270,282,423,257,266
,,,303,271,282,424,257,267
,,,304,272,283,425,258,266
