AS,bit_Rank,eth_Rank,r2_Rank,bit_tot,eth_tot,r_tot,bit_weight,eth_weight,r_weight,grand_tot
AS-16509,2,1,1,501,1135,253,160,135,80,1889
AS-14061,3,2,7,256,323,30,240,206,28,609
AS-6830,10,19,44,134,33,2,95,19,2,169
AS-4766,32,16,10,24,67,12,18,33,7,103
AS-209,23,35,32,36,12,4,29,9,1,52
AS-36351,50,39,9,10,9,9,10,9,7,28
AS-3786,49,29,48,6,16,1,6,6,1,23
AS-12874,30,60,60,16,3,1,8,1,0,20
AS-8220,86,43,33,2,6,2,2,3,1,10
AS-32097,64,66,59,5,4,1,3,4,1,10
AS-2497,95,74,12,1,2,4,1,2,3,7
AS-3223,68,96,79,3,1,1,5,1,1,5
